WHR,Schiz,PrCa,Neur,IBD,BMI,BrCa,Face,FaceEAS,FaceEUR
355894,72187.8,70787,76048.6,86348,41320.4,67391,371794,35642.2,36871
683152,49613.8,153964.8,83943.6,324538,566110,45195,101568.6,37202.4,39786.4
45682.2,305460,271210,99551,322574,422252,161195.6,432916,43869.6,42915.8
61733.4,63259.2,94518,241926,193249,200760,132373.4,230414,47314.8,60304.4
37297.4,59359.2,362966,168840.8,89951,314610,392090,331106,48901.2,61605.2
66123.6,117385,67245.4,176838.8,52004.4,32448.8,20440.8,368112,52813.4,62482
231958,273354,278076,86618.8,67198.8,71139,48962.2,98045,54478.4,63399.6
352360,68884.6,323514,51939.6,130975.8,564402,225118,58893.8,56286.4,72073.8
68053.4,43399.2,395474,79642.2,77039.2,40026.4,256466,90639.2,57165.2,73099.6
546712,62738.8,117873.8,108479,373838,96768.2,143007,341024,57255.6,76638.8
386470,97284.6,116316.2,33704.4,506678,108388.8,516360,357030,58893.8,79226
178265.8,247130,113705.8,67782.4,293908,440028,346858,297406,62038.6,81130.4
96610.2,83539.8,355666,427206,39433,34222.2,260008,363288,64205.8,84433.6
62963.6,225600,272914,182181.6,63220.6,80702,117873.8,399140,67087.2,101568.6
30672.8,423060,416810,127678.4,40113.2,205986,437826,416672,67105.8,108017
353584,99184.8,102167.2,74921,352634,248930,253730,372618,69006.8,121028.6
99088.6,55669,257998,93834,243378,341402,333888,344366,69480.8,146623
76598.6,522232,265764,95897.8,58488.8,402128,252062,198113.4,71814.6,151375.4
298198,86616.4,377420,375376,54266,51853.4,260224,319672,73738.6,152237.8
418592,467044,323962,47863.4,236910,55840.4,106153.2,304960,77747,157792.2
466140,225288,40487.2,161656.4,76033.8,71792.6,25170.2,430618,79954,163340.6
317288,81943.8,69041.4,59634.6,346578,221314,70853.8,71397.8,82109.8,176638
371824,98194.6,264236,81488.6,218238,281222,74076.6,64031.6,83695,180553
170260,51834.6,51224.8,387284,122557.6,350840,303190,291136,90639.2,191824.4
72574.8,96281.4,547896,71350.4,230134,40431.2,188206.6,315456,95831.4,200060
425034,232654,59157.2,194732.8,149404,176154,98129.4,238782,96556.6,202656
93018.4,495128,266620,425234,204172,116509.8,214236,71725,98268.2,230414
320968,125506.8,362836,180818.4,208184,257342,106047.4,427136,100485.2,245430
320240,147527.8,277944,395770,285052,216390,429664,436530,102880.4,262064
113869.8,387284,25026.2,378048,208160,257556,90875.6,153406.8,103975.4,266104
103871.6,64860.4,324636,60431.6,70924.4,392960,60319.4,520672,104791.2,272696
400804,309884,290274,62459.6,129216.2,33564.6,37235.6,375822,106698.8,276922
245274,308992,310512,273702,422848,567932,69054.8,261918,107948.2,286024
374866,166711.2,252790,352576,29384.6,124854.6,68240.4,317324,112072.8,290942
393146,264786,93849.6,43910.8,106518.6,426368,85256.6,329038,117008.2,291136
94481.2,72215.8,368460,33564.6,97730.4,80800.4,113074.2,403534,118897.6,293500
435588,279118,325510,54157.8,70818.4,57789.6,439260,180553,119940,304960
592484,483306,330620,133072.2,70220.4,148854.4,284010,295034,120951.4,315272
404262,205580,93862.6,40892,381850,639316,350880,325366,125970.2,331106
482330,286858,485104,206930,220378,125267,72776.2,79954,127837.8,331666
361440,55758.4,308104,58114,70127,58584.6,48528.6,81130.4,148866.6,341024
73892,56161.8,350928,300656,400748,99476.6,57655.2,120951.4,170425.2,344654
433888,100638.4,295476,65689,261512,40537.8,556990,356110,171301.2,363288
185190.2,564168,73644.6,429832,394160,79785.8,98710.4,151787,176887.8,373890
403366,58289.8,260592,66294.4,135878.4,410528,405800,637458,194172.4,399140
292584,129227,402440,232726,493088,479424,413428,37202.4,198113.4,402072
109503,62317.8,119691,64634.4,76076,392134,99349.8,82109.8,211908,403534
146051,142212.6,85690,147585,53114.4,393538,209340,404552,223720,416672
271646,64799.4,337264,92368.6,272318,93813.2,303494,117008.2,224408,436530
383514,125520.8,310066,407456,436676,108058.8,80296,223646,229568,452332
188483.2,507888,80650.6,228552,232056,48405,367328,67087.2,235554,465326
119916.8,208992,107742,546576,422474,70948,313826,194172.4,235920,520672
53873.4,753530,198377,224770,41389.2,43273,114766.4,53825.6,238782,557654
182318,409062,367012,312092,73816.2,500398,74224.6,125970.2,241918,619690
91423.8,407626,119085.6,66309,317228,100048.8,286914,349462,245860,
319150,304218,124316,69546.4,205108,69079.6,291716,337058,246152,
433372,92879.4,245166,103704.8,109694.2,344988,357644,495006,246876,
191500.2,379992,480182,82298.8,382496,299250,84726.6,245860,247548,
439224,645798,163943.8,96487,514604,219190,80367.2,364286,258392,
246370,54082.8,370014,37197.4,276746,58375.4,290788,107948.2,260016,
437220,339412,352840,51892.2,338800,75897,347078,293500,265138,
528698,55485.6,372308,446824,259972,418930,236792,62482,284926,
32619.2,58487.2,465132,79838.8,76779.2,59805,170033.6,170425.2,297406,
295402,248780,205660,64500.2,292834,380804,398378,96556.6,306400,
474296,56506.8,123174,89255.6,393538,52556.4,60668.2,103975.4,315718,
71770.8,69900,219958,357962,107700,224696,60411.4,75437.8,317324,
58695,495582,352928,53207.2,158515.4,104617,274014,390182,319672,
290192,103137.4,312092,200500,339618,121974.8,317140,152237.8,325366,
82855,544656,357772,395902,283916,261562,355400,118897.6,329038,
40125.4,276186,423916,210224,103966.6,88511.6,54054.4,414966,330234,
46724.6,77727.6,410790,680488,756922,32619.2,451592,381956,338276,
383398,309010,355400,394216,235880,512696,495444,72073.8,344366,
360310,71380,69824.6,549402,246610,186881.2,433456,148866.6,344434,
92846,75141.4,82683,465132,511532,54808.6,455514,39786.4,349462,
328418,127455.8,148430,552746,56506.8,117854.2,369646,277668,353544,
507620,152039.6,125698.2,338734,196620,122676.6,355548,67105.8,356110,
716306,127855.6,39978.8,312740,420046,183804.4,95206.6,465326,364286,
542232,529050,55716.8,300506,336844,252292,383302,84433.6,368112,
451718,75062.4,60964.8,315080,546350,72780.2,246534,119940,369902,
374638,156005,215360,275224,178107.8,81889.4,123917,58474.2,381956,
109118.2,89848.8,304782,88730.2,105745,353720,44657,505948,383684,
27764.8,85571.4,353868,367756,467912,218566,81074.2,246876,398654,
292250,75439.8,120710.4,104564.8,87971.2,219914,231940,451142,404552,
201050,306162,309670,80089.2,171595.8,50014.2,280692,265138,430618,
90531.2,65038.6,526666,189163.6,188284.8,130925,20815.8,330234,432916,
382156,27038.2,130859.6,322886,192415.4,499428,276570,184381,440944,
377482,458248,263820,50820.4,101582.8,113702.6,271880,290942,451142,
,45133.6,568168,64214.8,218498,335494,29974.4,331666,473076,
,97295.2,492828,358856,175656.8,291910,386898,229568,495006,
,322770,89451.2,168406.2,395124,310384,234890,138494.2,505948,
,79248,323630,140863.2,278748,43538.8,222644,66382.6,637458,
,175642.2,116113.4,369604,69952.4,455476,175097.8,383684,726402,
,461486,492038,315482,203370,239876,344300,338276,6765520,
,331454,81687.6,341232,74511,86984.6,66193.4,235554,,
,369062,78159.6,250210,452394,487126,149607,48901.2,,
,78670.4,29340.8,335270,65634.4,264324,162365.8,246152,,
,35172.2,412090,67033.4,315150,264580,364064,235920,,
,83632.4,79825.6,580102,363812,139105.8,142749.6,69006.8,,
,216780,52960,413956,173330.8,423870,384738,294618,,
,137313.2,387436,651820,81107.8,342302,341146,344434,,
,354810,66968.4,607598,55518,73469.4,390680,57165.2,,
,290418,281238,293184,77885,171986.2,99402.2,369902,,
,119118.6,99391.2,579764,380676,271760,252656,71814.6,,
,29114.8,79825.6,162082.6,482062,117206.2,103403.4,211908,,
,252418,220544,314566,54622,74119.6,61909.8,54478.4,,
,107583.8,389566,270528,259418,121344.2,189373.4,353544,,
,341724,431550,113202.8,84461.6,208542,379696,241918,,
,79171.2,68448.8,328328,66884.8,96548.6,400470,76624,,
,54058.8,108551.2,367786,58062.4,127880.4,334286,262064,,
,63073.6,356842,176550,539264,387114,37772.8,127837.8,,
,306952,433492,67264,196996.4,38918.4,279954,90986.4,,
,74796.6,288190,186307.2,145739.8,293136,251420,69480.8,,
,162370.4,102167.2,31389,182146.2,,39304.2,104791.2,,
,72426.2,302510,354870,295688,,104206.2,557654,,
,176232.2,435564,55567.2,61728.2,,264984,139190.6,,
,330272,419394,123704.2,238048,,64612.8,62038.6,,
,395046,318144,42929,320532,,55778.6,228818,,
,244020,383154,60752.2,85329.8,,38942.2,336200,,
,188990.6,58657.6,446602,352136,,79923,83695,,
,75179,100115.4,73542.6,286668,,40191,102880.4,,
,444232,78073,346714,491206,,324556,151375.4,,
,269772,153905,58390,179251.8,,,168939.2,,
,233566,379876,186100.8,400282,,,171301.2,,
,58235,357654,187628.6,336480,,,398654,,
,239398,162843.4,65814.6,266154,,,247548,,
,310384,47758.8,82016.6,508592,,,52813.4,,
,155461.2,190705.8,379434,59685.8,,,106698.8,,
,86984.6,79752.6,109612.2,,,,165629,,
,269928,575378,384930,,,,113901.4,,
,414954,65587,236438,,,,473076,,
,52724.2,400414,54610,,,,108017,,
,516904,489318,125813.2,,,,200060,,
,48555.6,,95640.4,,,,90078.2,,
,88560.8,,252698,,,,136656.4,,
,191076.2,,269764,,,,157792.2,,
,63653,,449756,,,,224408,,
,147654.6,,425246,,,,39599.4,,
,455400,,287312,,,,341932,,
